0.51771419,0.21188888,0.11186375,-4.71061226
0.49722625,0.31850318,0,-3.07329555
0.92664048,0.78655042,0.97272243,-2.7309653
0.50919076,0.30824232,0.05675461,-0.92203245
0.70383308,0.38995788,0.25389772,-5.78767637
0.6533217,0.3894705,0.38350884,-4.60333664
0.4090946,0.01349339,0,-1.30558397
0.69594838,0.4806781,0.41141687,-4.15044576
0.6567104,0.53941381,0.28782945,-4.45357526
0.54261485,0.13227672,0.24508844,-4.57902145
0.52645719,0.15649204,0.19287737,-4.74921633
0.53861137,0.20455688,0.17400279,-4.58100216
0.10541217,0.04609042,0.40162864,1.25506651
0.86871672,0.77179182,0.76969257,2.28808166
0.49235465,0.13854857,0.04462645,-4.79506959
0.43565518,0,0.24032523,-5.07486086
0.43565518,0,0.24032523,-5.07486086
0.40897913,1,0,-6.01268174
1,0,1,-0.93977083
0.73551468,0.94020256,0.31246575,-9.2890775
0.22115156,0.23537439,0.39363831,-2.31200284
0.3676409,0.40134565,0.45905947,-4.4471643
